x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
-100100.0,1.8336883034764817,0.0,-4166.666666666667,0.0,0.0,-100.0,4066.666666666667,-104141.66666666667,0.97,-83117.69285938391
-97155.88235294117,1.8336883034764817,0.0,-4166.666666666667,0.0,0.0,-100.0,4066.666666666667,-101197.54901960785,0.97,-78407.10462408978
-94211.76470588235,1.8336883034764817,0.0,-4166.666666666667,0.0,0.0,-100.0,4066.666666666667,-98253.43137254902,0.97,-73696.51638879566
-91267.64705882352,1.8336883034764817,0.0,-4166.666666666667,0.0,0.0,-100.0,4066.666666666667,-95309.3137254902,0.97,-68985.92815350153
-88323.5294117647,1.8336883034764817,0.0,-4166.666666666667,0.0,0.0,-100.0,4066.666666666667,-92365.19607843137,0.97,-64275.339918207435
-85379.41176470589,1.8336883034764817,0.0,-4166.666666666667,0.0,0.0,-100.0,4066.666666666667,-89421.07843137256,0.97,-59564.75168291334
-82435.29411764706,1.8336883034764817,0.0,-4166.666666666667,0.0,0.0,-100.0,4066.666666666667,-86476.96078431373,0.97,-54854.16344761921
-79491.17647058824,1.8336883034764817,0.0,-4166.666666666667,0.0,0.0,-100.0,4066.666666666667,-83532.84313725491,0.97,-50143.575212325086
-76547.05882352941,1.8336883034764817,0.0,-4166.666666666667,0.0,0.0,-100.0,4066.666666666667,-80588.72549019608,0.97,-45432.986977030974
-73602.94117647059,1.8336883034764817,0.0,-4166.666666666667,0.0,0.0,-100.0,4066.666666666667,-77644.60784313726,0.97,-40722.39874173686
-70658.82352941176,1.8336883034764817,0.0,-4166.666666666667,0.0,0.0,-100.0,4066.666666666667,-74700.49019607843,0.97,-36011.81050644274
-67714.70588235294,1.8336883034764817,0.0,-4166.666666666667,0.0,0.0,-100.0,4066.666666666667,-71756.37254901961,0.97,-31301.222271148625
-64770.58823529412,1.8336883034764817,0.0,-4166.666666666667,0.0,0.0,-100.0,4066.666666666667,-68812.25490196078,0.97,-26590.6340358545
-61826.470588235294,1.8336883034764817,0.0,-4166.666666666667,0.0,0.0,-100.0,4066.666666666667,-65868.13725490196,0.97,-21880.045800560372
-58882.35294117647,1.8336883034764817,0.0,-4166.666666666667,0.0,0.0,-100.0,4066.666666666667,-62924.01960784313,0.97,-17169.45756526626
-55938.23529411765,1.8336883034764817,0.0,-4166.666666666667,0.0,0.0,-100.0,4066.666666666667,-59979.901960784315,0.97,-12458.869329972149
-52994.117647058825,1.8336883034764817,0.0,-4166.666666666667,0.0,0.0,-100.0,4066.666666666667,-57035.78431372549,0.97,-7748.281094678023
-50050.0,1.8336883034764817,0.0,-4166.666666666667,0.0,0.0,-100.0,4066.666666666667,-54091.666666666664,0.97,-3037.692859383911
-47105.882352941175,1.8336883034764817,0.0,-4166.666666666667,0.0,0.0,-100.0,4066.666666666667,-51147.54901960784,0.97,1672.895375910215
-44161.76470588235,1.8336883034764817,0.0,-4166.666666666667,0.0,0.0,-100.0,4066.666666666667,-48203.431372549014,0.97,6383.483611204341
